student_id,gender,math_score,reading_score,writing_score,attendance,study_hours,final_grade
1,M,71,90,78,64,2,78.0
2,F,78,62,63,88,5,70.0
3,M,88,46,98,96,2,79.0
4,M,91,98,70,97,3,87.0
5,M,71,79,55,78,3,69.0
6,F,43,60,69,67,5,58.0
7,M,69,85,46,60,5,66.0
8,M,76,80,88,81,2,81.0
9,M,62,77,90,76,4,76.0
10,F,78,48,71,66,2,66.0
11,M,84,77,87,84,5,83.0
12,M,54,58,93,63,6,68.0
13,M,82,65,46,95,5,67.0
14,M,68,92,53,65,6,70.0
15,F,75,64,57,90,1,68.0
16,M,52,52,67,78,5,59.0
17,F,71,51,67,98,1,66.0
18,F,46,47,89,86,4,63.0
19,F,98,61,62,69,2,73.0
20,M,90,77,80,85,6,83.0
21,F,61,92,77,78,2,77.0
22,M,67,56,74,98,1,69.0
23,F,41,95,71,62,6,68.0
24,F,81,66,78,72,2,75.0
25,F,84,99,64,87,5,83.0
26,F,96,66,99,79,3,86.0
27,F,92,90,51,87,1,79.0
28,F,45,74,95,67,2,71.0
29,F,67,82,46,98,1,68.0
30,F,67,82,77,60,1,74.0
31,M,83,89,75,62,6,80.0
32,M,83,95,93,72,6,88.0
33,F,59,98,72,87,3,77.0
34,F,69,52,51,84,5,60.0
35,F,50,71,99,92,1,75.0
36,M,97,71,60,97,2,78.0
37,F,94,78,99,65,4,88.0
38,M,67,65,73,91,1,71.0
39,M,64,74,42,80,1,62.0
40,M,78,77,97,75,3,83.0
41,M,72,72,46,80,5,65.0
42,M,40,91,86,70,4,72.0
43,F,96,77,45,96,6,75.0
44,F,66,49,57,95,6,61.0
45,F,96,92,65,94,2,85.0
46,F,91,63,57,78,4,71.0
47,F,52,48,96,79,6,67.0
48,M,80,79,43,77,2,68.0
49,F,42,93,90,73,5,75.0
50,F,78,61,69,74,2,70.0
51,M,45,88,73,90,6,71.0
52,F,47,72,68,60,3,62.0
53,M,66,74,61,62,3,66.0
54,F,48,73,65,75,3,63.0
55,M,76,90,53,82,6,74.0
56,F,72,97,91,70,3,85.0
57,F,90,50,76,71,4,72.0
58,M,81,79,74,69,5,77.0
59,M,83,85,74,91,2,82.0
60,M,63,81,92,75,2,78.0
61,M,54,68,84,67,6,68.0
62,M,98,73,78,97,3,84.0
63,M,93,93,53,71,3,79.0
64,M,71,90,44,83,1,70.0
65,M,71,97,42,87,5,72.0
66,F,63,75,74,67,4,70.0
67,F,80,79,81,87,2,81.0
68,M,91,77,51,95,1,75.0
69,F,88,96,84,85,1,89.0
70,F,88,65,85,67,6,78.0
71,F,97,76,70,87,2,82.0
72,F,91,67,54,87,6,72.0
73,M,51,77,53,96,4,64.0
74,F,78,47,72,95,1,69.0
75,M,41,62,87,86,1,66.0
76,F,42,69,43,76,5,54.0
77,F,88,86,92,68,4,87.0
78,F,76,75,91,92,1,82.0
79,M,88,98,76,79,4,86.0
80,F,95,47,64,72,2,69.0
81,M,56,84,58,87,3,68.0
82,F,98,90,67,88,1,85.0
83,M,88,68,49,72,5,69.0
84,F,41,94,70,94,2,71.0
85,M,41,76,67,65,4,62.0
86,M,67,91,51,77,6,70.0
87,F,93,66,67,64,2,74.0
88,M,62,67,75,84,1,70.0
89,F,76,46,92,61,4,70.0
90,F,71,71,82,69,3,74.0
91,F,72,86,48,89,2,71.0
92,F,40,46,45,64,1,46.0
93,F,58,70,99,92,5,77.0
94,F,41,61,94,60,6,65.0
95,F,92,84,91,77,4,88.0
96,F,83,77,86,91,2,83.0
97,F,65,53,52,70,2,58.0
98,F,71,87,70,80,3,76.0
99,F,45,98,97,85,3,80.0
100,M,71,92,77,84,5,80.0
101,M,94,83,66,81,6,81.0
102,F,43,73,62,86,5,62.0
103,F,94,86,98,72,1,91.0
104,F,50,99,77,92,1,77.0
105,F,95,70,51,93,5,74.0
106,F,98,79,78,94,6,86.0
107,F,56,94,50,60,5,66.0
108,F,77,69,65,80,6,71.0
109,F,63,68,76,65,6,69.0
110,M,44,57,90,87,4,66.0
111,F,91,51,76,76,6,73.0
112,M,73,80,89,64,3,79.0
113,F,45,89,77,90,6,72.0
114,F,61,64,59,64,6,62.0
115,M,50,45,90,97,6,65.0
116,F,87,52,80,62,1,72.0
117,M,55,90,73,82,3,74.0
118,F,72,60,65,96,3,69.0
119,F,48,58,64,96,5,61.0
120,M,99,56,73,69,4,75.0
121,F,98,95,78,69,6,88.0
122,M,45,67,53,78,2,57.0
123,F,55,59,90,76,4,69.0
124,M,68,72,96,80,4,79.0
125,M,42,78,54,73,3,60.0
126,F,59,46,64,68,4,58.0
127,F,99,76,66,60,6,78.0
128,M,98,67,76,72,6,80.0
129,F,75,66,82,63,1,73.0
130,F,58,95,71,60,6,73.0
131,F,65,69,58,99,6,68.0
132,M,42,66,90,91,3,68.0
133,M,58,66,61,93,6,65.0
134,M,59,93,89,87,1,81.0
135,M,71,96,66,90,2,79.0
136,M,46,86,63,67,3,65.0
137,M,91,50,54,98,2,68.0
138,M,80,59,60,85,3,68.0
139,M,72,98,90,93,5,87.0
140,M,79,87,77,62,4,79.0
141,F,78,81,53,71,5,71.0
142,M,57,77,82,60,6,71.0
143,F,79,52,60,64,2,64.0
144,F,40,97,53,89,6,66.0
145,F,50,88,50,89,4,65.0
146,M,67,88,48,76,3,68.0
147,M,96,49,69,82,4,72.0
148,M,64,83,55,74,1,68.0
149,M,89,48,72,96,4,72.0
150,F,62,50,93,80,1,70.0
151,M,70,89,60,73,4,73.0
152,M,69,76,99,61,1,79.0
153,M,81,96,88,70,2,86.0
154,M,74,74,57,98,6,71.0
155,M,46,91,94,97,6,79.0
156,F,99,79,46,93,5,76.0
157,M,55,99,76,97,6,79.0
158,F,65,84,53,93,3,70.0
159,M,87,96,66,77,4,82.0
160,F,96,60,93,89,5,84.0
161,M,91,57,62,74,3,70.0
162,M,99,94,77,86,3,90.0
163,F,88,86,94,93,1,90.0
164,F,41,74,64,97,6,63.0
165,F,40,63,57,92,2,57.0
166,M,87,61,98,83,2,82.0
167,F,51,63,80,74,5,66.0
168,M,44,72,86,89,2,70.0
169,M,76,99,94,76,4,88.0
170,F,71,70,83,64,2,74.0
171,F,98,81,99,88,5,92.0
172,M,94,70,80,63,2,80.0
173,M,48,97,55,69,4,67.0
174,F,80,67,72,76,1,73.0
175,F,74,53,99,69,5,75.0
176,F,58,56,46,76,1,56.0
177,M,87,97,76,79,1,86.0
178,M,55,45,64,83,1,58.0
179,M,42,45,70,64,3,54.0
180,M,59,91,84,93,6,80.0
181,M,63,78,52,65,3,64.0
182,M,93,76,59,61,6,74.0
183,F,95,98,88,72,1,92.0
184,M,72,92,53,70,5,72.0
185,M,63,69,50,82,6,63.0
186,M,91,84,51,75,4,75.0
187,F,50,89,99,90,4,80.0
188,M,88,97,85,70,2,88.0
189,M,47,45,58,75,6,52.0
190,F,75,60,79,67,5,71.0
191,M,77,83,48,63,3,69.0
192,M,79,49,87,99,1,74.0
193,M,59,66,54,63,2,60.0
194,M,74,73,81,84,4,77.0
195,M,87,99,83,62,3,87.0
196,F,64,47,50,91,3,57.0
197,F,74,56,91,62,1,72.0
198,F,64,70,68,86,6,69.0
199,M,68,60,99,88,4,77.0
200,M,57,95,43,91,5,68.0
